Username,Description
freeCodeCamp,The https://freeCodeCamp.com open source codebase and curriculum. Learn to code and help nonprofits.
twbs,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
EbookFoundation, Freely available programming books
facebook,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
d3,"Bring data to life with SVG, Canvas and HTML. "
getify,A book series on JavaScript. @YDKJS on twitter.
tensorflow,Computation using data flow graphs for scalable machine learning
sindresorhus, Curated list of awesome lists
vuejs,"A progressive, incrementally-adoptable JavaScript framework for building UI on the web."
angular,AngularJS - HTML enhanced for web apps!
robbyrussell,"A delightful community-driven (with 1,000+ contributors) framework for managing your zsh configuration. Includes 200+"
airbnb,JavaScript Style Guide
github,A collection of useful .gitignore templates
FortAwesome,The iconic font and CSS toolkit
facebook,A framework for building native apps with React.
electron,"Build cross platform desktop apps with JavaScript, HTML, and CSS"
torvalds,Linux kernel source tree
jquery,jQuery JavaScript Library
jwasham,A complete computer science study plan to become a software engineer.
moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
daneden, A cross-browser library of CSS animations. As easy to use as an easy thing.
apple,The Swift Programming Language
atom,The hackable text editor
meteor,"Meteor, the JavaScript App Platform"
h5bp,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
nodejs,Node.js JavaScript runtime 
nodejs,Moved to https://github.com/nodejs/node
rails,Ruby on Rails
Semantic-Org,Semantic is a UI component framework based around useful principles from natural language.
vinta,"A curated list of awesome Python frameworks, libraries, software and resources"
hakimel,The HTML Presentation Framework
socketio,Realtime application framework (Node.JS server)
mrdoob,JavaScript 3D library.
laravel,A PHP Framework For Web Artisans
expressjs,"Fast, unopinionated, minimalist web framework for node."
reactjs,Predictable state container for JavaScript apps
moment,"Parse, validate, manipulate, and display dates in javascript."
impress,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired b
nwjs,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web techno
jlevy,"Master the command line, in one page"
chartjs,Simple HTML5 Charts using the <canvas> tag
google,Material Design icons by Google
jakubroztocil,"Modern command line HTTP client  user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting"
ionic-team,Build amazing native and progressive web apps with open web technologies. One app running on everything 
jekyll," Jekyll is a blog-aware, static site generator in Ruby"
Microsoft,Visual Studio Code
webpack,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows to load par
resume,Resumes generated using the GitHub informations
AFNetworking,"A delightful networking framework for iOS, OS X, watchOS, and tvOS."
golang,The Go programming language
facebookincubator,Create React apps with no build configuration.
Homebrew, The former home of Homebrew
nvbn,Magnificent app which corrects your previous console command.
h5bp,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or complet"
pallets,"A microframework based on Werkzeug, Jinja2 and good intentions"
NARKOZ,Based on a true story
google,Material Design Components in HTML/CSS/JS
adobe,"An open source code editor for the web, written in JavaScript, HTML and CSS."
Dogfalo,"Materialize, a CSS Framework based on Material Design"
blueimp,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audi"
rg3,Command-line program to download videos from YouTube.com and other video sites
necolas,A collection of HTML element and attribute style-normalizations
gulpjs,The streaming build system
callemall,React Components that Implement Google's Material Design.
jashkenas,"Give your JS App some Backbone with Models, Views, Collections, and Events"
django,The Web framework for perfectionists with deadlines.
yarnpkg," Fast, reliable, and secure dependency management."
requests,Python HTTP Requests for Humans 
zurb,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for site
angular,One framework. Mobile & desktop.
ReactiveX,RxJava  Reactive Extensions for the JVM  a library for composing asynchronous and event-based programs using observ
chrislgarry,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.
kubernetes,Production-Grade Container Scheduling and Management
lodash,"A modern JavaScript utility library delivering modularity, performance, & extras."
Alamofire,Elegant HTTP Networking in Swift
antirez,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values "
wasabeef,A curated list of awesome Android UI/UX libraries
ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid
getlantern,Lantern Latest Download https://github.com/getlantern/lantern/releases/tag/latest  https://github.com/getl
josephmisiti,"A curated list of awesome Machine Learning frameworks, libraries and software."
kamranahmedse,Roadmap to becoming a web developer in 2017
papers-we-love,Papers from the computer science community to read and discuss.
elastic,"Open Source, Distributed, RESTful Search Engine"
Trinea,A categorized collection of Android Open Source Projects : codekk
neovim,Vim-fork focused on extensibility and usability.
Microsoft,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
nylas, An extensible desktop mail app built on the modern web. Forks welcome!
ReactTraining,Declarative routing for React
TryGhost,"A simple, powerful publishing platform"
johnpapa,Angular Style Guide: A starting point for Angular development teams to provide consistency through good practices.
typicode,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
ariya,Scriptable Headless WebKit
open-source-society, Path to a free self-taught education in Computer Science!
